id;iter;answer_token_len;correct_answer_idx;finish_reasons;frequency_of_answer;is_correct;model_guessed_its_correct;reasoning_token_len;sampled_finish_reasons;yes_no_probabilities
(3, 0);7;35;2;;0.6;True;;9960;stop;[0.007009480723190768, 0.9926603129853667]
(3, 0);8;205;2;;0.6;True;;9526;stop;[0.03578300527401529, 0.9596183035521318]
(3, 0);9;0;2;;0.6;True;;10240;length;[0.08222592985354844, 0.8979333206912196]
(3, 1);0;0;2;;0.0;False;;10240;length;
(3, 1);1;0;2;;0.0;False;;10240;length;
(3, 1);2;354;2;;0.6;False;;6837;stop;[0.9173711702433378, 0.03786442914391229]
(3, 1);3;830;2;;0.6;False;;8322;stop;[0.925966057042458, 0.0039445762611903055]
(3, 1);4;378;2;;0.6;False;;2323;stop;[0.9285485611260865, 0.015126305836804185]
(3, 1);5;0;2;;0.1;True;;10240;length;[0.09185914979312303, 0.8992008624708373]
(3, 1);6;265;2;;0.6;False;;5661;stop;[0.9188179971303587, 0.03346794359770688]
(3, 1);7;0;2;;0.6;False;;10240;length;[0.5374038835291929, 0.33629877705694555]
(3, 1);8;48;2;;0.0;False;;9767;stop;
(3, 1);9;0;2;;0.6;False;;10240;length;[0.8739388663147561, 0.10437710977694287]
(3, 2);0;352;2;;1.0;True;;8252;stop;[0.971374100811859, 0.008019183466299814]
(3, 2);1;194;2;;1.0;True;;9698;stop;[0.8527730289786712, 0.0030755802280000833]
(3, 2);2;538;2;;1.0;True;;1717;stop;[0.8842895848092127, 0.07430826605271255]
(3, 2);3;0;2;;1.0;True;;10240;length;[0.8191124934229224, 0.16641280171808756]
(3, 2);4;0;2;;1.0;True;;10240;length;[0.8191124934229224, 0.16641280171808756]
(3, 2);5;449;2;;1.0;True;;5733;stop;[0.17346402671666492, 0.0023063299633521114]
(3, 2);6;222;2;;1.0;True;;10017;length;[0.7963265288543421, 0.07523633324708282]
(3, 2);7;492;2;;1.0;True;;7897;stop;[0.7031738463277672, 0.2841079079341766]
(3, 2);8;627;2;;1.0;True;;8356;stop;[0.7460498788100525, 0.0033485996751447273]
(3, 2);9;361;2;;1.0;True;;8274;stop;[0.7135155223072658, 0.009266948655719186]
(3, 3);0;0;2;;1.0;False;;10240;length;[0.6626433315933726, 0.2515110546990818]
(3, 3);1;0;2;;1.0;False;;10240;length;[0.6626433315933726, 0.2515110546990818]
(3, 3);2;146;2;;1.0;False;;8656;stop;[0.9341803619085483, 0.04301481574295948]
(3, 3);3;463;2;;1.0;False;;6297;stop;[0.549273968857574, 0.24565051364166968]
(3, 3);4;304;2;;1.0;False;;9935;length;[0.8237359379053962, 0.09610222084474292]
(3, 3);5;396;2;;1.0;False;;8612;stop;[0.9510057776925661, 0.0055672154377544155]
(3, 3);6;650;2;;1.0;False;;2873;stop;[0.2985027807791776, 0.04911142757877405]
(3, 3);7;0;2;;1.0;False;;10240;length;[0.6626433315933726, 0.2515110546990818]
(3, 3);8;0;2;;1.0;False;;10240;length;[0.6626433315933726, 0.2515110546990818]
(3, 3);9;0;2;;1.0;False;;10240;length;[0.6626433315933726, 0.2515110546990818]
(4, 0);0;70;3;;0.0;False;;3507;stop;
(4, 0);1;54;3;;0.0;False;;5107;stop;
(4, 0);2;340;3;;0.0;False;;8869;stop;
(4, 0);3;75;3;;0.1;True;;5172;stop;[0.01321593352260822, 0.9862631545126628]
(4, 0);4;92;3;;0.6;False;;7517;stop;[0.3972199350471451, 0.060678158739881416]
(4, 0);5;235;3;;0.6;False;;6279;stop;[0.5628464984717894, 0.27971976181356656]
(4, 0);6;59;3;;0.6;False;;4691;stop;[0.8570223068144939, 0.017105526972089117]
(4, 0);7;343;3;;0.6;False;;7331;stop;[0.6595083604899226, 0.3164355789650259]
(4, 0);8;83;3;;0.6;False;;1094;stop;[0.860404905657239, 0.05809563543139598]
(4, 0);9;136;3;;0.6;False;;3451;stop;[0.8936608875978537, 0.085762030656176]
(4, 1);0;105;3;;0.8;False;;9269;stop;[0.7382414421930117, 0.037043145916871904]
(4, 1);1;122;3;;0.8;False;;6739;stop;[0.7217062378345993, 0.07315318835821141]
(4, 1);2;48;3;;0.2;True;;6348;stop;[0.06472480170807979, 0.8934984067426487]
(4, 1);3;76;3;;0.2;True;;6389;stop;[0.34310403129979, 0.3709839126101376]
(4, 1);4;146;3;;0.8;False;;8708;stop;[0.7759053144857019, 0.07263000451415484]
(4, 1);5;231;3;;0.8;False;;7104;stop;[0.6163178138046392, 0.33508616321575935]
(4, 1);6;433;3;;0.8;False;;8649;stop;[0.7364810196011763, 0.12212053562353223]
(4, 1);7;388;3;;0.8;False;;8067;stop;[0.7022078003945146, 0.027656323559501074]
(4, 1);8;356;3;;0.8;False;;9805;stop;[0.8102958403683117, 0.09270577518069568]
(4, 1);9;416;3;;0.8;False;;8034;stop;[0.4957293999700819, 0.21997860087657758]
(4, 2);0;274;3;;0.1;True;;7398;stop;[0.3407773165029426, 0.5361179716327318]
(4, 2);1;103;3;;0.7;False;;7971;stop;[0.7502910434494711, 0.22882582613124688]
(4, 2);2;0;3;;0.0;False;;10240;length;
(4, 2);3;367;3;;0.7;False;;7731;stop;[0.7464895748857593, 0.16656433342938876]
(4, 2);4;296;3;;0.0;False;;9302;stop;
(4, 2);5;230;3;;0.7;False;;7065;stop;[0.688416798528486, 0.06869709456566976]
(4, 2);6;439;3;;0.7;False;;7266;stop;[0.5190341695978965, 0.3680503385581296]
(4, 2);7;75;3;;0.7;False;;8410;stop;[0.3159150282214995, 0.08177002871928395]
(4, 2);8;335;3;;0.7;False;;8700;stop;[0.8090100258317655, 0.12601946941228573]
(4, 2);9;116;3;;0.7;False;;5794;stop;[0.8816749360709969, 0.07180908780715406]
(4, 3);0;296;3;;0.7;True;;3222;stop;[0.8374231074010736, 0.0720387679331617]
(4, 3);1;183;3;;0.3;False;;3998;stop;[0.3699918875928576, 0.5912453528920326]
(4, 3);2;309;3;;0.7;True;;3585;stop;[0.35330569506767756, 0.06297415587884413]
(4, 3);3;89;3;;0.7;True;;3384;stop;[0.6280835692143792, 0.1871173068641682]
(4, 3);4;90;3;;0.7;True;;6943;stop;[0.767320726556606, 0.0724958922000401]
(4, 3);5;195;3;;0.3;False;;6460;stop;[0.028453760580082647, 0.949649470630728]
(4, 3);6;45;3;;0.7;True;;7101;stop;[0.5919859118902311, 0.11079720929393252]
(4, 3);7;110;3;;0.7;True;;9226;stop;[0.8188228905159859, 0.15028827226433156]
(4, 3);8;503;3;;0.7;True;;6840;stop;[0.7441581207897496, 0.22343679329275706]
(4, 3);9;0;3;;0.3;False;;10240;length;[0.002975939726237428, 0.995315781687258]
(5, 0);0;485;1;;0.9;True;;4534;stop;[0.0733837382613367, 0.859748565421128]
(5, 0);1;446;1;;0.9;True;;5472;stop;[0.048075587171516936, 0.9506533583908486]
(5, 0);2;536;1;;0.9;True;;2004;stop;[0.009263012318491443, 0.9901971912901977]
(5, 0);3;416;1;;0.1;False;;2202;stop;[0.27964077820207284, 0.04709918632058562]
(5, 0);4;478;1;;0.9;True;;2869;stop;[0.01612877945841267, 0.982382110170434]
(5, 0);5;559;1;;0.9;True;;2928;stop;[0.027543031109207302, 0.9709252801771743]
(5, 0);6;502;1;;0.9;True;;6183;stop;[0.07776769026313658, 0.836081413635346]
(5, 0);7;494;1;;0.9;True;;2436;stop;[0.020264909035213118, 0.9764179797530338]
(5, 0);8;419;1;;0.9;True;;1899;stop;[0.0824778366868393, 0.9148678339103152]
(5, 0);9;461;1;;0.9;True;;2446;stop;[0.0036490639809144154, 0.9960981856373188]
(5, 1);0;500;1;;1.0;True;;2976;stop;[0.8501491644198121, 0.014857975279396723]
(5, 1);1;478;1;;1.0;True;;1989;stop;[0.9285954332894996, 0.022708416866378714]
(5, 1);2;585;1;;1.0;True;;2385;stop;[0.9041284820124874, 0.03492019112082865]
(5, 1);3;494;1;;1.0;True;;3346;stop;[0.8988785638071757, 0.07040560256229764]
(5, 1);4;469;1;;1.0;True;;1569;stop;[0.7223200292823108, 0.02867156639533942]
(5, 1);5;417;1;;1.0;True;;2664;stop;[0.9326567889878947, 0.017624454448072473]
(5, 1);6;444;1;;1.0;True;;1842;stop;[0.7331702790433493, 0.08193872153892381]
(5, 1);7;575;1;;1.0;True;;1888;stop;[0.7891521123703101, 0.04323551497078372]
(5, 1);8;508;1;;1.0;True;;1863;stop;[0.9624636560231484, 0.00731985119777444]
(5, 1);9;573;1;;1.0;True;;1373;stop;[0.9126638192778013, 0.022848090115127628]
(5, 2);0;325;1;;0.8;True;;7451;stop;[0.07887588018930353, 0.9169019002659434]
(5, 2);1;294;1;;0.8;True;;6426;stop;[0.13831228643949814, 0.65471603256975]
(5, 2);2;438;1;;0.8;True;;3365;stop;[0.05327937861491177, 0.9443995230684822]
(5, 2);3;489;1;;0.2;False;;2851;stop;[0.8526553928322443, 0.029868160031983112]
(5, 2);4;392;1;;0.2;False;;3071;stop;[0.38618406579497816, 0.10074212066684142]
(5, 2);5;433;1;;0.8;True;;3432;stop;[0.017433174588740722, 0.9820329566350943]
(5, 2);6;509;1;;0.8;True;;6249;stop;[0.06291949786429345, 0.6505339442711416]
(5, 2);7;524;1;;0.8;True;;6536;stop;[0.052546872916776934, 0.2774853360523233]
(5, 2);8;555;1;;0.8;True;;5253;stop;[0.08860816287269134, 0.464273605152228]
(5, 2);9;496;1;;0.8;True;;6233;stop;[0.16452641204188206, 0.5147575727126658]
(5, 3);0;432;1;;0.9;True;;6453;stop;[0.059161579733481365, 0.9400164382088784]
(5, 3);1;471;1;;0.9;True;;3588;stop;[0.009925344468275518, 0.9889603574055003]
(5, 3);2;439;1;;0.9;True;;1741;stop;[0.022492956989597836, 0.9714864826946816]
(5, 3);3;562;1;;0.9;True;;2554;stop;[0.055183415249913874, 0.9333566253451304]
(5, 3);4;443;1;;0.9;True;;3641;stop;[0.02712078755307511, 0.9710962372483183]
(5, 3);5;555;1;;0.9;True;;1879;stop;[0.038924350986671644, 0.9579016288758609]
(5, 3);6;491;1;;0.9;True;;1712;stop;[0.02711165249311516, 0.970769098947821]
(5, 3);7;459;1;;0.9;True;;2017;stop;[0.11736547534237517, 0.880876771126344]
(5, 3);8;412;1;;0.9;True;;3870;stop;[0.041052696777136834, 0.9565126176265988]
(5, 3);9;421;1;;0.1;False;;2459;stop;[0.3688352208632184, 0.06447060370351497]
(6, 0);0;57;3;;0.6;True;;6530;stop;[0.044601045088762434, 0.9536123067803209]
(6, 0);1;118;3;;0.6;True;;8920;stop;[0.028796386204518964, 0.9686223960935704]
(6, 0);2;363;3;;0.6;True;;7705;stop;[0.12562792660061842, 0.7061919222260198]
(6, 0);3;431;3;;0.4;False;;4009;stop;[0.6648244410033013, 0.05372605433053214]
(6, 0);4;0;3;;0.4;False;;10240;length;[0.607032910990323, 0.32492132246154076]
(6, 0);5;85;3;;0.6;True;;8722;stop;[0.07128645737560046, 0.8158303146846887]
(6, 0);6;0;3;;0.6;True;;10240;length;[0.41395327458224473, 0.5747172059791196]
(6, 0);7;357;3;;0.6;True;;7950;stop;[0.05414057835168078, 0.41598383737616246]
(6, 0);8;377;3;;0.4;False;;6981;stop;[0.6450414053466687, 0.15321075838238968]
(6, 0);9;514;3;;0.4;False;;7178;stop;[0.5253426965694149, 0.1552910137416099]
(6, 1);0;455;3;;0.9;False;;7360;stop;[0.8712418931205929, 0.025499778767887428]
(6, 1);1;223;3;;0.9;False;;6445;stop;[0.6890089312224587, 0.09848868259948838]
(6, 1);2;188;3;;0.1;True;;6973;stop;[0.005550442098599469, 0.9936424756615175]
(6, 1);3;419;3;;0.9;False;;6633;stop;[0.5472354519970166, 0.17766132912735247]
(6, 1);4;311;3;;0.9;False;;7591;stop;[0.3301204058491286, 0.2396417150872814]
(6, 1);5;544;3;;0.9;False;;8027;stop;[0.8745501443309059, 0.027568627132417717]
(6, 1);6;424;3;;0.9;False;;7897;stop;[0.7612526226738469, 0.07164218481335395]
(6, 1);7;515;3;;0.9;False;;9146;stop;[0.9288996997935722, 0.0203623626763227]
(6, 1);8;170;3;;0.9;False;;8216;stop;[0.956456778983201, 0.028434710970110206]
(6, 1);9;450;3;;0.9;False;;4410;stop;[0.6520048222590016, 0.03431957739565117]
(6, 2);0;349;3;;1.0;False;;9227;stop;[0.8111455832417281, 0.04282154476909842]
(6, 2);1;279;3;;1.0;False;;7785;stop;[0.28849837257279337, 0.023497098488122956]
(6, 2);2;524;3;;1.0;False;;6530;stop;[0.5836003090356652, 0.0347073236604917]
(6, 2);3;234;3;;1.0;False;;7287;stop;[0.800131477639993, 0.021828434872301013]
(6, 2);4;307;3;;1.0;False;;8365;stop;[0.7568888372716314, 0.005689324790271156]
(6, 2);5;170;3;;1.0;False;;6801;stop;[0.916095331010103, 0.0154574175537537]
(6, 2);6;309;3;;1.0;False;;6254;stop;[0.4955821557325014, 0.0662883690922148]
(6, 2);7;410;3;;1.0;False;;8951;stop;[0.778275113166384, 0.009495614662595632]
(6, 2);8;440;3;;1.0;False;;8018;stop;[0.6373640370160478, 0.043713352220083414]
(6, 2);9;203;3;;1.0;False;;6119;stop;[0.767219108162119, 0.020930550544890358]
(6, 3);0;450;3;;1.0;True;;6568;stop;[0.5892313862766668, 0.01645606155416297]
(6, 3);1;341;3;;1.0;True;;5173;stop;[0.5454305622160727, 0.008611840552682793]
(6, 3);2;174;3;;1.0;True;;6361;stop;[0.942627499018876, 0.02913990678705491]
(6, 3);3;322;3;;1.0;True;;7535;stop;[0.9375020443174328, 0.028254869683047933]
(6, 3);4;372;3;;1.0;True;;7664;stop;[0.8197997931778092, 0.04055716417026089]
(6, 3);5;448;3;;1.0;True;;8449;stop;[0.4927162119784729, 0.09883859048774302]
(6, 3);6;376;3;;1.0;True;;5130;stop;[0.93631468045156, 0.02258626860402224]
(6, 3);7;410;3;;1.0;True;;8587;stop;[0.762040067712629, 0.0789189188545099]
(6, 3);8;383;3;;1.0;True;;7375;stop;[0.45851661445807457, 0.032192921113768]
(6, 3);9;251;3;;1.0;True;;5396;stop;[0.9001597935928316, 0.01501158377055529]
(7, 0);0;79;3;;0.9;True;;3916;stop;[0.01000943564825517, 0.989577862253444]
(7, 0);1;855;3;;0.9;True;;3057;stop;[0.07014141775281878, 0.854497500032928]
(7, 0);2;536;3;;0.9;True;;3107;stop;[0.041149121060704695, 0.9512981545083351]
(7, 0);3;361;3;;0.9;True;;5377;stop;[0.2680742283319934, 0.5764501431128326]
(7, 0);4;856;3;;0.9;True;;2011;stop;[0.009407981792769303, 0.9901024082196165]
(7, 0);5;514;3;;0.9;True;;4236;stop;[0.03891088761705327, 0.9575703117014785]
(7, 0);6;915;3;;0.9;True;;2637;stop;[0.019093930825097766, 0.9793318511942908]
(7, 0);7;487;3;;0.9;True;;2816;stop;[0.015654920161188954, 0.9837877943240269]
(7, 0);8;588;3;;0.9;True;;3075;stop;[0.05329628871632877, 0.9446993391931942]
(7, 0);9;666;3;;0.1;False;;3491;stop;[0.42055071724446164, 0.1571483217498855]
(7, 3);0;451;3;;1.0;True;;1668;stop;[0.8044306116997403, 0.04540503259624074]
(7, 3);1;675;3;;1.0;True;;2784;stop;[0.48084160268196785, 0.07727828264254681]
(7, 3);2;676;3;;1.0;True;;2218;stop;[0.34918968392339095, 0.03887311114853114]
(7, 3);3;707;3;;1.0;True;;1767;stop;[0.8599412298010716, 0.09498689882317675]
(7, 3);4;444;3;;1.0;True;;1726;stop;[0.6794561169624856, 0.022446536823654058]
(7, 3);5;780;3;;1.0;True;;1325;stop;[0.5172457668324192, 0.04112733723082546]
(7, 3);6;325;3;;1.0;True;;1252;stop;[0.8490566132242133, 0.07714511411503559]
(7, 3);7;597;3;;1.0;True;;2219;stop;[0.621274362404794, 0.08880654492434469]
(7, 3);8;530;3;;1.0;True;;2819;stop;[0.9236044673572812, 0.057227464357689856]
